,property_id,displayPrice,dateSold,tenure,newBuild
101,854fa1c5-6dd0-4ada-94fe-e1047ab3b19a,"£87,000",2 Oct 2009,Leasehold,False
102,854fa1c5-6dd0-4ada-94fe-e1047ab3b19a,"£52,000",25 Jul 2003,Leasehold,False
103,854fa1c5-6dd0-4ada-94fe-e1047ab3b19a,"£29,000",7 Sep 2001,Leasehold,False
104,854fa1c5-6dd0-4ada-94fe-e1047ab3b19a,"£29,950",26 Feb 1999,Leasehold,False
105,87f131c0-b09a-4c24-8691-c0ad6f1c2ee6,"£560,000",26 Jan 2023,Freehold,False
106,1ee8831b-f91f-49c7-9dec-d2a80d54ba53,"£220,000",25 Jan 2023,Freehold,False
107,1ee8831b-f91f-49c7-9dec-d2a80d54ba53,"£120,000",16 Aug 2018,Freehold,False
108,74768734-fac1-439d-adb1-716baced3527,"£190,000",23 Jan 2023,Freehold,False
109,74768734-fac1-439d-adb1-716baced3527,"£93,000",5 Aug 2005,Freehold,False
110,8fda6b59-8015-445d-aecb-ee6b658881ba,"£230,000",23 Jan 2023,Freehold,False
111,8fda6b59-8015-445d-aecb-ee6b658881ba,"£105,450",24 Mar 2011,Leasehold,False
112,8fda6b59-8015-445d-aecb-ee6b658881ba,"£56,000",24 Mar 2011,Freehold,False
113,700d21ae-0c2e-4978-b062-d2e4475e78ce,"£160,000",23 Jan 2023,Leasehold,False
114,700d21ae-0c2e-4978-b062-d2e4475e78ce,"£108,000",17 Jul 2017,Leasehold,False
115,1232db93-b14a-4793-adba-e2179a984975,"£220,000",23 Jan 2023,Freehold,False
116,1232db93-b14a-4793-adba-e2179a984975,"£117,000",12 Jun 2015,Freehold,False
117,1232db93-b14a-4793-adba-e2179a984975,"£59,950",24 Mar 2000,Freehold,False
118,0a58ad96-7b48-46ad-bc5b-452b16788c29,"£145,000",20 Jan 2023,Freehold,False
119,0a58ad96-7b48-46ad-bc5b-452b16788c29,"£120,000",1 Feb 2019,Freehold,False
120,0a58ad96-7b48-46ad-bc5b-452b16788c29,"£129,000",21 Aug 2007,Freehold,False
121,0a58ad96-7b48-46ad-bc5b-452b16788c29,"£110,000",3 Aug 2005,Freehold,False
122,a4c3ee15-0fc7-43d1-967a-959727edf628,"£155,000",20 Jan 2023,Freehold,False
123,a4c3ee15-0fc7-43d1-967a-959727edf628,"£100,000",23 May 2014,Freehold,False
124,a4c3ee15-0fc7-43d1-967a-959727edf628,"£109,950",17 Mar 2006,Freehold,False
